,Gender,Seeking,Age,Pictures,Profile Visits,Kisses,Fans,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,Country,City,Location,distance,isFlirtstar,isHighlighted,isInfluencer,isMobile,isNew,isOnline,isVip,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,Verified,lastOnlineDate,lastOnlineTime,User ID,Under 25
26,F,both,19,30,16096,533,6,True,True,False,CH,Oftringen,Winznau,136.0,0,0,0,1,0,1,0,2,False,False,True,True,False,False,1,2015-04-26T11:50:47Z,1430049047.0,55336759076ea11d208b483c,1
27,F,M,22,9,15457,431,0,True,True,True,CH,Radelfingen bei Aarberg,Lyss,79.9,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-06T11:59:59Z,1428321599.0,5411f8c8180ba0184a8b4aac,1
28,F,M,20,18,6962,361,0,True,True,True,DE,Lörrach,Lörrach,144.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,2015-04-26T08:18:01Z,1430036281.0,552aa2c1ea6da1bd358b4851,1
29,F,both,22,30,30863,1901,121,False,False,True,CH,Frauenfeld,Opfikon,177.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-08T15:09:04Z,1428505744.0,550c6869160ba0f7318b4771,1
30,F,M,24,3,51339,2926,1,True,False,False,CH,Erlinsbach,Erlinsbach (AG),143.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,2015-04-08T10:38:36Z,1428489516.0,552025c01c0ba01e1b8b4588,1
31,F,M,21,7,3471,38,4,False,False,True,CH,Wetzikon,Uster,183.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-08T15:14:36Z,1428506076.0,5465e30f170ba051228b4c6b,1
32,F,M,25,18,12050,478,7,False,True,True,CH,Zug,Zug,162.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,2015-04-07T20:11:54Z,1428437514.0,5522e5cfca6da1791c8b4688,0
33,F,M,24,12,26982,710,0,True,False,True,CH,Emmenbrücke,Emmen,138.0,0,0,0,0,0,0,0,1,False,False,True,False,False,False,1,2015-04-08T14:22:46Z,1428502966.0,527629ff1a0ba0b97008fc9b,1
34,F,M,24,7,1820,25,0,True,True,False,CH,Olten,Rothrist,128.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-26T11:45:05Z,1430048705.0,55388b1bca6da1d50b8b4a45,1
35,F,none,22,18,11507,194,58,True,False,False,CH,Lyssach,Bern,76.9,0,0,0,0,0,0,0,1,False,False,True,False,False,False,1,2015-04-08T10:14:15Z,1428488055.0,54a47c42086ea12b6b8b528c,1
